# population at NEWLVL return, before the opening SCHED lap
# source: NEWLVL.ASM, COMCRE.ASM CBIRTH/FNDCEL/CFIND/CREGEN, ONCE.ASM CINI40, OBIRTH.ASM
# creature <level> <second> <slot> <type> <row> <col> <power> <mgo> <mgd> <pho> <phd> <mv> <at> <use>
# object <level> <second> <index> <type> <olevel> <owner> <cls> <reveal> <mgo> <pho> <s0> <s1> <s2> <carrier>
# positions <level> <second> <row,col>...
creature 0 0 0 3 1 8 304 0 255 96 167 31 31 255
creature 0 0 1 3 26 15 304 0 255 96 167 31 31 255
creature 0 0 2 2 1 16 200 0 255 52 192 29 23 255
creature 0 0 3 2 1 12 200 0 255 52 192 29 23 255
creature 0 0 4 2 24 12 200 0 255 52 192 29 23 255
creature 0 0 5 2 0 3 200 0 255 52 192 29 23 255
creature 0 0 6 1 8 4 56 0 255 80 128 15 7 255
creature 0 0 7 1 26 28 56 0 255 80 128 15 7 255
creature 0 0 8 1 9 23 56 0 255 80 128 15 7 255
creature 0 0 9 1 20 26 56 0 255 80 128 15 7 255
creature 0 0 10 1 15 18 56 0 255 80 128 15 7 255
creature 0 0 11 1 20 1 56 0 255 80 128 15 7 255
creature 0 0 12 1 29 9 56 0 255 80 128 15 7 255
creature 0 0 13 1 17 25 56 0 255 80 128 15 7 255
creature 0 0 14 1 20 18 56 0 255 80 128 15 7 255
creature 0 0 15 0 22 5 32 0 255 128 255 23 11 255
creature 0 0 16 0 2 29 32 0 255 128 255 23 11 255
creature 0 0 17 0 8 18 32 0 255 128 255 23 11 255
creature 0 0 18 0 23 3 32 0 255 128 255 23 11 255
creature 0 0 19 0 4 18 32 0 255 128 255 23 11 255
creature 0 0 20 0 31 24 32 0 255 128 255 23 11 255
creature 0 0 21 0 5 6 32 0 255 128 255 23 11 255
creature 0 0 22 0 2 8 32 0 255 128 255 23 11 255
creature 0 0 23 0 8 29 32 0 255 128 255 23 11 255
positions 0 0 1,8 26,15 1,16 1,12 24,12 0,3 8,4 26,28 9,23 20,26 15,18 20,1 29,9 17,25 20,18 22,5 2,29 8,18 23,3 4,18 31,24 5,6 2,8 8,29
creature 0 1 0 3 5 15 304 0 255 96 167 31 31 255
creature 0 1 1 3 28 28 304 0 255 96 167 31 31 255
creature 0 1 2 2 16 23 200 0 255 52 192 29 23 255
creature 0 1 3 2 29 0 200 0 255 52 192 29 23 255
creature 0 1 4 2 6 1 200 0 255 52 192 29 23 255
creature 0 1 5 2 12 2 200 0 255 52 192 29 23 255
creature 0 1 6 1 25 28 56 0 255 80 128 15 7 255
creature 0 1 7 1 6 8 56 0 255 80 128 15 7 255
creature 0 1 8 1 3 0 56 0 255 80 128 15 7 255
creature 0 1 9 1 8 18 56 0 255 80 128 15 7 255
creature 0 1 10 1 8 30 56 0 255 80 128 15 7 255
creature 0 1 11 1 31 6 56 0 255 80 128 15 7 255
creature 0 1 12 1 23 10 56 0 255 80 128 15 7 255
creature 0 1 13 1 20 30 56 0 255 80 128 15 7 255
creature 0 1 14 1 1 8 56 0 255 80 128 15 7 255
creature 0 1 15 0 20 24 32 0 255 128 255 23 11 255
creature 0 1 16 0 12 8 32 0 255 128 255 23 11 255
creature 0 1 17 0 14 28 32 0 255 128 255 23 11 255
creature 0 1 18 0 1 10 32 0 255 128 255 23 11 255
creature 0 1 19 0 6 13 32 0 255 128 255 23 11 255
creature 0 1 20 0 1 27 32 0 255 128 255 23 11 255
creature 0 1 21 0 19 10 32 0 255 128 255 23 11 255
creature 0 1 22 0 28 1 32 0 255 128 255 23 11 255
creature 0 1 23 0 6 11 32 0 255 128 255 23 11 255
object 0 1 35 12 0 255 1 13 0 5 3 21 0 0
object 0 1 36 13 0 255 4 13 0 16 0 0 0 1
object 0 1 40 14 0 255 5 25 0 5 15 7 0 2
object 0 1 46 14 0 255 5 25 0 5 15 7 0 3
object 0 1 48 15 0 255 5 5 0 5 15 7 0 4
object 0 1 54 15 0 255 5 5 0 5 15 7 0 5
object 0 1 56 16 0 255 3 5 0 10 108 128 0 6
object 0 1 59 17 0 255 4 5 0 16 0 0 0 7
positions 0 1 5,15 28,28 16,23 29,0 6,1 12,2 25,28 6,8 3,0 8,18 8,30 31,6 23,10 20,30 1,8 20,24 12,8 14,28 1,10 6,13 1,27 19,10 28,1 6,11
creature 0 7 0 3 28 28 304 0 255 96 167 31 31 255
