MAP features=0
SOLID 0 0
SOLID 0 1
SOLID 0 2
SOLID 0 19
SOLID 0 20
SOLID 0 21
SOLID 0 22
SOLID 0 28
SOLID 0 29
SOLID 0 30
SOLID 0 31
SOLID 1 0
SOLID 1 1
SOLID 1 2
SOLID 1 4
SOLID 1 6
SOLID 1 7
SOLID 1 8
SOLID 1 9
SOLID 1 11
SOLID 1 12
SOLID 1 13
SOLID 1 15
SOLID 1 16
SOLID 1 17
SOLID 1 19
SOLID 1 20
SOLID 1 21
SOLID 1 22
SOLID 1 24
SOLID 1 26
SOLID 1 28
SOLID 1 29
SOLID 1 30
SOLID 1 31
SOLID 2 0
SOLID 2 1
SOLID 2 2
SOLID 2 4
SOLID 2 6
SOLID 2 7
SOLID 2 8
SOLID 2 9
SOLID 2 11
SOLID 2 12
SOLID 2 13
SOLID 2 15
SOLID 2 16
SOLID 2 17
SOLID 2 19
SOLID 2 20
SOLID 2 21
SOLID 2 22
SOLID 2 24
SOLID 2 31
SOLID 3 0
SOLID 3 1
SOLID 3 2
SOLID 3 3
SOLID 3 4
SOLID 3 6
SOLID 3 7
SOLID 3 8
SOLID 3 9
SOLID 3 11
SOLID 3 12
SOLID 3 13
SOLID 3 15
SOLID 3 16
SOLID 3 17
SOLID 3 19
SOLID 3 20
SOLID 3 21
SOLID 3 22
SOLID 3 24
SOLID 3 26
SOLID 3 28
SOLID 3 29
SOLID 4 31
SOLID 5 1
SOLID 5 2
SOLID 5 3
SOLID 5 4
SOLID 5 6
SOLID 5 7
SOLID 5 8
SOLID 5 10
SOLID 5 11
SOLID 5 12
SOLID 5 14
SOLID 5 15
SOLID 5 16
SOLID 5 17
SOLID 5 19
SOLID 5 21
SOLID 5 23
SOLID 5 24
SOLID 5 26
SOLID 5 28
SOLID 5 29
SOLID 5 31
SOLID 6 1
SOLID 6 2
SOLID 6 3
SOLID 6 4
SOLID 6 8
SOLID 6 10
SOLID 6 11
SOLID 6 12
SOLID 6 14
SOLID 6 15
SOLID 6 16
SOLID 6 17
SOLID 6 19
SOLID 6 21
SOLID 6 23
SOLID 6 24
SOLID 6 26
SOLID 6 28
SOLID 6 29
SOLID 6 31
SOLID 7 1
SOLID 7 2
SOLID 7 3
SOLID 7 4
SOLID 7 5
SOLID 7 6
SOLID 7 8
SOLID 7 10
SOLID 7 11
SOLID 7 12
SOLID 8 1
SOLID 8 2
SOLID 8 3
SOLID 8 4
SOLID 8 5
SOLID 8 6
SOLID 8 8
SOLID 8 10
SOLID 8 11
SOLID 8 12
SOLID 8 14
SOLID 8 15
SOLID 8 16
SOLID 8 17
SOLID 8 19
SOLID 8 21
SOLID 8 22
SOLID 8 24
SOLID 8 26
SOLID 8 27
SOLID 8 29
SOLID 8 31
SOLID 9 1
SOLID 9 2
SOLID 9 3
SOLID 9 14
SOLID 9 15
SOLID 9 31
SOLID 10 1
SOLID 10 2
SOLID 10 3
SOLID 10 5
SOLID 10 6
SOLID 10 8
SOLID 10 10
SOLID 10 11
SOLID 10 12
SOLID 10 15
SOLID 10 16
SOLID 10 18
SOLID 10 19
SOLID 10 21
SOLID 10 22
SOLID 10 23
SOLID 10 24
SOLID 10 25
SOLID 10 27
SOLID 10 29
SOLID 10 31
SOLID 11 1
SOLID 11 2
SOLID 11 3
SOLID 11 5
SOLID 11 6
SOLID 11 8
SOLID 11 10
SOLID 11 11
SOLID 11 12
SOLID 11 13
SOLID 11 15
SOLID 11 16
SOLID 11 18
SOLID 11 19
SOLID 11 21
SOLID 11 22
SOLID 11 23
SOLID 11 24
SOLID 11 25
SOLID 11 27
SOLID 11 29
SOLID 11 31
SOLID 12 1
SOLID 12 3
SOLID 12 5
SOLID 12 6
SOLID 12 8
SOLID 12 10
SOLID 12 11
SOLID 12 12
SOLID 12 13
SOLID 12 15
SOLID 12 16
SOLID 12 18
SOLID 12 19
SOLID 12 21
SOLID 12 22
SOLID 12 23
SOLID 12 24
SOLID 12 25
SOLID 12 27
SOLID 12 29
SOLID 12 31
SOLID 13 1
SOLID 13 3
SOLID 13 5
SOLID 13 6
SOLID 13 8
SOLID 13 10
SOLID 13 11
SOLID 13 12
SOLID 13 13
SOLID 13 15
SOLID 13 16
SOLID 14 1
SOLID 14 3
SOLID 14 11
SOLID 14 12
SOLID 14 13
SOLID 14 15
SOLID 14 16
SOLID 14 18
SOLID 14 19
SOLID 14 21
SOLID 14 22
SOLID 14 23
SOLID 14 24
SOLID 14 25
SOLID 14 27
SOLID 14 29
SOLID 14 31
SOLID 15 5
SOLID 15 6
SOLID 15 7
SOLID 15 8
SOLID 15 10
SOLID 15 11
SOLID 15 12
SOLID 15 13
SOLID 15 15
SOLID 15 16
SOLID 15 18
SOLID 15 19
SOLID 15 21
SOLID 15 22
SOLID 15 23
SOLID 15 24
SOLID 15 25
SOLID 15 27
SOLID 16 1
SOLID 16 3
SOLID 16 5
SOLID 16 6
SOLID 16 7
SOLID 16 8
SOLID 16 10
SOLID 16 11
SOLID 16 12
SOLID 16 13
SOLID 16 15
SOLID 16 16
SOLID 16 18
SOLID 16 19
SOLID 16 21
SOLID 16 22
SOLID 16 23
SOLID 16 24
SOLID 16 25
SOLID 16 27
SOLID 16 29
SOLID 16 30
SOLID 17 1
SOLID 17 3
SOLID 17 5
SOLID 17 6
SOLID 17 7
SOLID 17 8
SOLID 17 10
SOLID 17 11
SOLID 17 12
SOLID 17 13
SOLID 17 15
SOLID 17 16
SOLID 18 1
SOLID 18 3
SOLID 18 5
SOLID 18 6
SOLID 18 7
SOLID 18 8
SOLID 18 18
SOLID 18 19
SOLID 18 20
SOLID 18 21
SOLID 18 22
SOLID 18 23
SOLID 18 24
SOLID 18 25
SOLID 18 27
SOLID 18 29
SOLID 18 30
SOLID 19 1
SOLID 19 3
SOLID 19 5
SOLID 19 6
SOLID 19 7
SOLID 19 8
SOLID 19 10
SOLID 19 11
SOLID 19 13
SOLID 19 14
SOLID 19 15
SOLID 19 16
SOLID 20 10
SOLID 20 11
SOLID 20 13
SOLID 20 14
SOLID 20 15
SOLID 20 16
SOLID 20 18
SOLID 20 20
SOLID 20 21
SOLID 20 22
SOLID 20 24
SOLID 20 25
SOLID 20 27
SOLID 20 29
SOLID 20 30
SOLID 21 1
SOLID 21 3
SOLID 21 5
SOLID 21 6
SOLID 21 7
SOLID 21 8
SOLID 21 10
SOLID 21 11
SOLID 21 20
SOLID 21 21
SOLID 21 22
SOLID 21 24
SOLID 21 25
SOLID 22 3
SOLID 22 5
SOLID 22 6
SOLID 22 7
SOLID 22 8
SOLID 22 10
SOLID 22 11
SOLID 22 13
SOLID 22 14
SOLID 22 15
SOLID 22 16
SOLID 22 18
SOLID 22 19
SOLID 22 20
SOLID 22 21
SOLID 22 22
SOLID 22 24
SOLID 22 25
SOLID 22 26
SOLID 22 27
SOLID 22 29
SOLID 22 30
SOLID 23 1
SOLID 23 3
SOLID 23 10
SOLID 23 11
SOLID 23 13
SOLID 23 14
SOLID 23 15
SOLID 23 16
SOLID 23 18
SOLID 23 19
SOLID 23 20
SOLID 23 21
SOLID 23 22
SOLID 23 24
SOLID 23 25
SOLID 23 26
SOLID 23 27
SOLID 23 29
SOLID 23 30
SOLID 24 1
SOLID 24 3
SOLID 24 4
SOLID 24 5
SOLID 24 6
SOLID 24 8
SOLID 24 9
SOLID 24 10
SOLID 24 11
SOLID 24 13
SOLID 24 14
SOLID 24 15
SOLID 24 16
SOLID 24 18
SOLID 24 19
SOLID 24 20
SOLID 24 21
SOLID 24 22
SOLID 24 24
SOLID 24 25
SOLID 24 26
SOLID 24 27
SOLID 24 30
SOLID 25 1
SOLID 25 3
SOLID 25 4
SOLID 25 5
SOLID 25 6
SOLID 25 8
SOLID 25 9
SOLID 25 10
SOLID 25 11
SOLID 25 22
SOLID 25 24
SOLID 25 25
SOLID 25 26
SOLID 25 27
SOLID 25 28
SOLID 25 30
SOLID 26 11
SOLID 26 13
SOLID 26 14
SOLID 26 15
SOLID 26 16
SOLID 26 18
SOLID 26 19
SOLID 26 20
SOLID 26 22
SOLID 26 24
SOLID 26 25
SOLID 26 26
SOLID 26 27
SOLID 26 28
SOLID 26 30
SOLID 27 1
SOLID 27 3
SOLID 27 4
SOLID 27 5
SOLID 27 6
SOLID 27 8
SOLID 27 9
SOLID 27 13
SOLID 27 14
SOLID 27 15
SOLID 27 16
SOLID 27 18
SOLID 27 19
SOLID 27 20
SOLID 27 22
SOLID 27 24
SOLID 27 25
SOLID 27 26
SOLID 27 27
SOLID 27 28
SOLID 27 30
SOLID 28 11
SOLID 28 12
SOLID 28 13
SOLID 28 14
SOLID 28 15
SOLID 28 16
SOLID 28 18
SOLID 28 19
SOLID 28 20
SOLID 28 22
SOLID 28 24
SOLID 28 25
SOLID 29 1
SOLID 29 3
SOLID 29 4
SOLID 29 5
SOLID 29 6
SOLID 29 8
SOLID 29 9
SOLID 29 22
SOLID 29 24
SOLID 29 25
SOLID 29 27
SOLID 29 28
SOLID 29 30
