MAP features=1
SOLID 0 10
SOLID 0 11
SOLID 0 12
SOLID 0 13
SOLID 0 14
SOLID 0 15
SOLID 0 16
SOLID 0 17
SOLID 0 19
SOLID 0 20
SOLID 0 22
SOLID 1 1
SOLID 1 2
SOLID 1 4
SOLID 1 5
SOLID 1 7
SOLID 1 8
SOLID 1 9
SOLID 1 10
SOLID 1 11
SOLID 1 12
SOLID 1 13
SOLID 1 14
SOLID 1 24
SOLID 1 25
SOLID 1 27
SOLID 1 28
SOLID 1 29
SOLID 1 31
SOLID 2 1
SOLID 2 2
SOLID 2 4
SOLID 2 5
SOLID 2 7
SOLID 2 8
SOLID 2 9
SOLID 2 10
SOLID 2 11
SOLID 2 12
SOLID 2 13
SOLID 2 14
SOLID 2 15
SOLID 2 16
SOLID 2 17
SOLID 2 19
SOLID 2 20
SOLID 2 22
SOLID 2 23
SOLID 2 24
SOLID 2 25
SOLID 2 27
SOLID 2 28
SOLID 2 29
SOLID 2 31
SOLID 3 1
SOLID 3 2
SOLID 3 4
SOLID 3 5
SOLID 3 7
SOLID 3 8
SOLID 3 9
SOLID 3 10
SOLID 3 11
SOLID 3 12
SOLID 3 13
SOLID 3 14
SOLID 3 15
SOLID 3 16
SOLID 3 17
SOLID 3 19
SOLID 3 20
SOLID 4 7
SOLID 4 8
SOLID 4 9
SOLID 4 10
SOLID 4 11
SOLID 4 12
SOLID 4 13
SOLID 4 14
SOLID 4 15
SOLID 4 16
SOLID 4 17
SOLID 4 18
SOLID 4 19
SOLID 4 20
SOLID 4 21
SOLID 4 22
SOLID 4 23
SOLID 4 24
SOLID 4 25
SOLID 4 26
SOLID 4 27
SOLID 4 28
SOLID 4 29
SOLID 4 31
SOLID 5 1
SOLID 5 2
SOLID 5 4
SOLID 5 5
SOLID 5 7
SOLID 5 8
SOLID 5 31
SOLID 6 1
SOLID 6 2
SOLID 6 4
SOLID 6 5
SOLID 6 7
SOLID 6 8
SOLID 6 10
SOLID 6 11
SOLID 6 12
SOLID 6 13
SOLID 6 14
SOLID 6 15
SOLID 6 16
SOLID 6 17
SOLID 6 18
SOLID 6 19
SOLID 6 20
SOLID 6 21
SOLID 6 22
SOLID 6 23
SOLID 6 24
SOLID 6 25
SOLID 6 26
SOLID 6 27
SOLID 6 28
SOLID 6 29
SOLID 6 30
SOLID 6 31
SOLID 7 1
SOLID 7 2
SOLID 7 4
SOLID 7 5
SOLID 7 7
SOLID 7 8
SOLID 7 21
SOLID 7 22
SOLID 7 23
SOLID 7 24
SOLID 7 25
SOLID 7 26
SOLID 7 27
SOLID 7 28
SOLID 7 29
SOLID 7 30
SOLID 7 31
SOLID 8 10
SOLID 8 11
SOLID 8 12
SOLID 8 13
SOLID 8 14
SOLID 8 15
SOLID 8 16
SOLID 8 17
SOLID 8 18
SOLID 8 19
SOLID 8 21
SOLID 8 22
SOLID 8 23
SOLID 8 24
SOLID 8 25
SOLID 8 26
SOLID 8 27
SOLID 8 28
SOLID 8 29
SOLID 8 30
SOLID 8 31
SOLID 9 1
SOLID 9 3
SOLID 9 4
SOLID 9 5
SOLID 9 6
SOLID 9 7
SOLID 9 8
SOLID 9 10
SOLID 9 11
SOLID 9 12
SOLID 9 13
SOLID 9 14
SOLID 9 15
SOLID 9 16
SOLID 9 17
SOLID 9 18
SOLID 9 19
SOLID 9 21
SOLID 9 26
SOLID 9 27
SOLID 9 28
SOLID 9 29
SOLID 9 30
SOLID 9 31
SOLID 10 1
SOLID 10 17
SOLID 10 18
SOLID 10 19
SOLID 10 21
SOLID 10 23
SOLID 10 24
SOLID 10 26
SOLID 10 27
SOLID 10 28
SOLID 10 29
SOLID 10 30
SOLID 10 31
SOLID 11 1
SOLID 11 2
SOLID 11 3
SOLID 11 4
SOLID 11 5
SOLID 11 6
SOLID 11 7
SOLID 11 8
SOLID 11 9
SOLID 11 11
SOLID 11 12
SOLID 11 14
SOLID 11 15
SOLID 11 16
SOLID 11 17
SOLID 11 18
SOLID 11 19
SOLID 11 21
SOLID 11 23
SOLID 11 24
SOLID 11 26
SOLID 11 27
SOLID 11 28
SOLID 11 29
SOLID 11 30
SOLID 11 31
SOLID 12 1
SOLID 12 2
SOLID 12 3
SOLID 12 4
SOLID 12 5
SOLID 12 6
SOLID 12 7
SOLID 12 8
SOLID 12 9
SOLID 12 11
SOLID 12 12
SOLID 12 14
SOLID 12 15
SOLID 12 16
SOLID 12 17
SOLID 12 18
SOLID 12 19
SOLID 12 21
SOLID 12 23
SOLID 12 24
SOLID 12 26
SOLID 12 27
SOLID 12 28
SOLID 12 29
SOLID 12 30
SOLID 12 31
SOLID 13 1
SOLID 13 2
SOLID 13 3
SOLID 13 4
SOLID 13 5
SOLID 13 6
SOLID 13 7
SOLID 13 9
SOLID 13 11
SOLID 13 12
SOLID 13 14
SOLID 13 15
SOLID 13 16
SOLID 13 17
SOLID 13 18
SOLID 13 19
SOLID 13 21
SOLID 13 23
SOLID 13 24
SOLID 13 26
SOLID 13 27
SOLID 13 28
SOLID 13 29
SOLID 13 30
SOLID 13 31
SOLID 14 1
SOLID 14 2
SOLID 14 3
SOLID 14 4
SOLID 14 5
